Iteration-index		e_normA		r_norm2
0		294.5949373127		9579.7649816521
1		211.6781084576		5211.7337886610
2		176.9034342006		3898.0116267554
3		154.0384445070		3253.5230610731
4		139.2652521548		2788.3594336983
5		129.2250460456		2468.6948645973
6		119.9233553332		2022.0933810518
7		113.4586997517		1848.9953948698
8		107.7077670335		1661.5035137286
9		102.4795592975		1526.9650359317
10		98.0959259499		1434.4450323027
11		93.8479426209		1338.0690535678
12		89.9782314810		1258.1412361073
13		86.7514082731		1122.3237148319
14		83.7788258207		1065.2875207952
15		81.1571187803		995.6817824341
16		78.7553777944		920.9009386884
17		76.5553523615		881.7616727055
18		74.5512260979		829.3848677909
19		72.6804640016		777.8729532904
20		71.0092721214		748.1816547941
21		69.5295279655		650.4532698540
22		68.3604565665		609.2665373546
23		67.3187112699		553.4170013250
24		66.4633328159		497.0709017824
25		65.7585138902		458.8444938781
26		65.1515600422		422.9789535016
27		64.5914318936		419.5391940467
28		64.0398412617		406.0079872942
29		63.4984370290		402.8843012167
30		62.9460439231		401.3282813414
31		62.4233338426		379.4256377893
32		61.9231940122		387.3801556537
33		61.3979470941		429.2830572880
34		60.6039948924		516.0008855393
35		59.6789110880		488.0900716331
36		58.8588180217		490.0733345029
37		57.8268661029		551.5456148271
38		56.7693505420		506.0162531398
39		55.8217126835		503.8312316098
40		54.8567739059		495.3285223369
41		54.0753726571		443.6376292939
42		53.3226942949		431.1643133919
43		52.6331939167		393.0494282539
44		51.9919547128		417.2800236846
45		51.2953405854		402.3521535784
46		50.6150658643		428.9209732128
47		49.7707739316		460.3456018846
48		48.9107890052		452.9277612784
49		48.0111450754		450.6711539649
50		47.1700535750		434.2516331233
51		46.3316058007		445.8137923363
52		45.4031983582		458.3814777329
53		44.3409235639		483.8976707537
54		43.1502271452		515.3395029834
55		41.6135271452		554.9150282344
56		40.0287252726		565.9590083562
57		38.2679522525		574.6185230742
58		36.4810751933		541.2861181813
59		34.8837040485		493.2319347077
60		33.5164533134		420.2062791847
61		32.4936678780		373.3820395877
62		31.6557572751		346.2311658539
63		30.8078206958		361.4060620607
64		29.9887983134		335.6135750626
65		29.1933090085		320.4647773686
66		28.4608993002		293.1687724288
67		27.8799575531		270.1562663534
68		27.3028223611		270.6756639590
69		26.7204906310		271.3694957672
70		26.0915689603		279.8509935157
71		25.4672415428		262.1176979915
72		24.9665742094		229.5157973360
73		24.5637983311		213.6431822860
74		24.1416899557		210.9461495306
75		23.7916040285		183.8637849841
76		23.5335047327		161.2052538418
77		23.3240495738		145.2284794728
78		23.1325364575		141.2159536362
79		22.9480839727		136.4653271807
80		22.7882361846		127.4915244316
81		22.6461626970		122.6387310891
82		22.5053071960		119.6345737255
83		22.3713132502		117.1106014246
84		22.2386213289		117.5863937761
85		22.0925669168		123.4010701146
86		21.9252173868		133.1409929469
87		21.7633656472		122.2251427418
88		21.6124464714		126.8377552899
89		21.4292901587		144.3765109239
90		21.2070925489		152.3558723578
91		20.9603292092		161.5540722662
92		20.6748507795		167.1345215194
93		20.3840569379		175.3947796753
94		20.0434909884		180.1789406980
95		19.6596720195		193.7849165291
96		19.2407107956		194.6907410985
97		18.7915934366		194.6048482098
98		18.3358035944		186.8549717467
99		17.9643423788		161.7611369868
100		17.6590379285		146.2076489959
101		17.4198072557		135.2951716903
102		17.1854527137		128.3081215878
103		17.0079164034		107.5824597139
104		16.8685734759		101.5086364455
105		16.7381161009		95.2954227442
106		16.6118958743		101.0484055270
107		16.4674592961		101.0073669063
108		16.3250712259		99.4651292457
109		16.1980056464		90.1950508074
110		16.0855794540		90.4810831725
111		15.9727593276		86.6063278436
112		15.8840049960		74.4984346018
113		15.8131066824		66.9560281887
114		15.7563565604		64.3112024449
115		15.7016180152		61.7148979942
116		15.6477906988		60.1873219486
117		15.5971276538		59.8867952516
118		15.5399979734		65.5196729540
119		15.4781956200		65.6310409095
120		15.4114236881		72.2825186691
121		15.3351755580		74.6367579999
122		15.2513302840		77.2262228766
123		15.1604624686		79.2823680054
124		15.0664807870		81.9354139863
125		14.9614478870		90.2134963601
