Iteration		Residual
1		1.000007e+06
2		4.941715e-04
3		1.282556e-04
4		1.288409e-04
5		1.404154e-04
6		4.465011e-04
7		1.058039e-02
8		3.973216e-01
9		1.647037e+01
10		7.221264e+02
11		3.277010e+04
12		1.215985e+06
13		4.287389e+06
14		4.993500e+05
15		7.810095e+04
16		6.029103e+04
17		5.226459e+04
18		4.509992e+04
19		3.863096e+04
20		3.287420e+04
21		2.782816e+04
22		2.346515e+04
23		1.973629e+04
24		1.657949e+04
25		1.392700e+04
26		1.171111e+04
27		9.867990e+03
28		8.339761e+03
29		7.075433e+03
30		6.030984e+03
31		5.168974e+03
32		4.457909e+03
33		3.871508e+03
34		3.387967e+03
35		2.989268e+03
36		2.660565e+03
37		2.389644e+03
38		2.166471e+03
39		1.982797e+03
40		1.831848e+03
41		1.708051e+03
42		1.606822e+03
43		1.524382e+03
44		1.457613e+03
45		1.403936e+03
46		1.361217e+03
47		1.327682e+03
48		1.301856e+03
49		1.282508e+03
50		1.268608e+03
51		1.259290e+03
52		1.253825e+03
53		1.251597e+03
54		1.252081e+03
55		1.254830e+03
56		1.259460e+03
57		1.265641e+03
58		1.273086e+03
59		1.281546e+03
60		1.290800e+03
61		1.300656e+03
62		1.310942e+03
63		1.321506e+03
64		1.332208e+03
65		1.342927e+03
66		1.353549e+03
67		1.363972e+03
68		1.374105e+03
69		1.383861e+03
70		1.393164e+03
71		1.401941e+03
72		1.410129e+03
73		1.417667e+03
74		1.424502e+03
75		1.430584e+03
76		1.435871e+03
77		1.440322e+03
78		1.443903e+03
79		1.446583e+03
80		1.448339e+03
81		1.449147e+03
82		1.448991e+03
83		1.447858e+03
84		1.445740e+03
85		1.442631e+03
86		1.438531e+03
87		1.433442e+03
88		1.427373e+03
89		1.420331e+03
90		1.412333e+03
91		1.403393e+03
92		1.393532e+03
93		1.382774e+03
94		1.371143e+03
95		1.358667e+03
96		1.345378e+03
97		1.331307e+03
98		1.316489e+03
99		1.300961e+03
100		1.284758e+03
101		1.267921e+03
102		1.250489e+03
103		1.232502e+03
104		1.214001e+03
105		1.195028e+03
106		1.175624e+03
107		1.155831e+03
108		1.135690e+03
109		1.115243e+03
110		1.094529e+03
111		1.073588e+03
112		1.052459e+03
113		1.031181e+03
114		1.009790e+03
115		9.883218e+02
116		9.668112e+02
117		9.452912e+02
118		9.237938e+02
119		9.023493e+02
120		8.809867e+02
121		8.597333e+02
122		8.386152e+02
123		8.176566e+02
124		7.968804e+02
125		7.763078e+02
126		7.559585e+02
127		7.358510e+02
128		7.160018e+02
129		6.964264e+02
130		6.771387e+02
131		6.581512e+02
132		6.394750e+02
133		6.211203e+02
134		6.030956e+02
135		5.854084e+02
136		5.680653e+02
137		5.510714e+02
138		5.344310e+02
139		5.181476e+02
140		5.022235e+02
141		4.866602e+02
142		4.714586e+02
143		4.566186e+02
144		4.421395e+02
145		4.280200e+02
146		4.142581e+02
147		4.008513e+02
148		3.877966e+02
149		3.750905e+02
150		3.627292e+02
151		3.507082e+02
152		3.390231e+02
153		3.276688e+02
154		3.166402e+02
155		3.059318e+02
156		2.955379e+02
157		2.854528e+02
158		2.756703e+02
159		2.661845e+02
160		2.569891e+02
161		2.480778e+02
162		2.394442e+02
163		2.310820e+02
164		2.229846e+02
165		2.151458e+02
166		2.075589e+02
167		2.002178e+02
168		1.931159e+02
169		1.862471e+02
170		1.796049e+02
171		1.731832e+02
172		1.669759e+02
173		1.609770e+02
174		1.551804e+02
175		1.495803e+02
176		1.441710e+02
177		1.389467e+02
178		1.339020e+02
179		1.290313e+02
180		1.243293e+02
181		1.197909e+02
182		1.154108e+02
183		1.111842e+02
184		1.071060e+02
185		1.031717e+02
186		9.937641e+01
187		9.571578e+01
188		9.218535e+01
189		8.878083e+01
190		8.549805e+01
191		8.233296e+01
192		7.928160e+01
193		7.634014e+01
194		7.350487e+01
195		7.077216e+01
196		6.813851e+01
197		6.560052e+01
198		6.315488e+01
199		6.079840e+01
200		5.852798e+01
201		5.634061e+01
202		5.423338e+01
203		5.220348e+01
204		5.024818e+01
205		4.836484e+01
206		4.655091e+01
207		4.480391e+01
208		4.312146e+01
209		4.150125e+01
210		3.994105e+01
